run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
tf_015p,71.9686,18.355789,6111457.255243987,4049224.5070733465,7331175.137135775,0.6625628451543003,3.376931844845126,0.14961417857146747
tf_015p,100.0,18.355529999999998,6962713.881592986,4994449.138586994,8568775.104696123,0.7173135681749891,3.9112299801415094,0.14825817857146711
tf_015p,1.0,24.99216,2790904.37977614,479643.40024738235,2831820.094648407,0.17185948888935235,1.3216247713626035,0.15158860714289651
tf_015p,1.3895,24.985608,2875580.6048714393,509106.0780381823,2920300.1239270275,0.17704462089350587,1.3580505946164165,0.1510471428571821
tf_015p,1.9307,25.018220999999997,2966370.789435064,538354.7478557903,3014826.9427866796,0.1814859928412113,1.4105571549949916,0.1519680714286109
tf_015p,2.6827,24.997591999999997,3068324.888691084,581905.9422834376,3123016.514241628,0.18964938961586716,1.4569053850658105,0.15152389285718224
tf_015p,3.72759,24.989458,3172608.6363111897,636893.6912090037,3235904.6854161476,0.20074763836913825,1.5167955117543233,0.152249321428611
tf_015p,5.17947,24.995659999999997,3283693.8750391747,713277.3739267583,3360269.345919408,0.21721798714207147,1.5528562251675835,0.1501001785714676
tf_015p,7.19686,24.972791,3419688.1786825233,807505.824213115,3513734.8926120047,0.2361343438407348,1.6165694283409828,0.1494340000000388
tf_015p,10.0,24.978825,3544589.7859656215,937002.5233289921,3666345.657394664,0.26434723900603146,1.7321687408586994,0.15345492857146842
tf_015p,13.895,24.961240999999998,3679788.464068706,1075741.5013508922,3833805.279095666,0.29233786448731225,1.805684932491584,0.15298046428575401
tf_015p,19.307,24.996969,3841035.806625798,1261058.7130429125,4042749.701072642,0.32831214717331786,1.8948189575371044,0.1522351428571824
tf_015p,26.827,24.9741,4031257.5015669293,1500497.4893641039,4301456.702040325,0.3722157388310888,2.0164994609480966,0.15226728571432527
tf_015p,37.2759,24.973098999999998,4235820.91864091,1740436.4818872449,4579442.979476868,0.4108852841790288,2.1503230273897067,0.1525158928571825
tf_015p,51.7947,24.973491,4447847.088303136,2076194.1941860265,4908556.412317011,0.46678632447728763,2.3385867070303052,0.15474753571432592
tf_015p,71.9686,24.972623,4603520.010363075,2373063.9241374256,5179172.605142231,0.5154889994602768,2.4091699354025486,0.15108839285718212
tf_015p,100.0,24.974058,5135235.688721876,2926535.4962240946,5910605.34881009,0.5698931214883516,2.6996676837047344,0.14835507142860999
tf_015p_high,0.1,31.972209999999997,2042990.6567903578,357917.6154434447,2074106.0346996293,0.17519297714545182,0.9746229761906962,0.15262642857146824
tf_015p_high,0.13895,31.95254,2151092.1777985725,361723.6226313891,2181293.546626813,0.1681581228199979,0.8132929616403904,0.1211035714286029
tf_015p_high,0.19307,31.99384,2196048.282699437,373507.7349241639,2227585.2594222575,0.17008174996272804,1.0484599045245968,0.15287678571432545
tf_015p_high,0.26827,31.956179999999996,2269066.7585229864,382303.4075949105,2301047.554939422,0.16848486548882544,1.0749198110136646,0.15173107142861084
tf_015p_high,0.372759,31.985859999999995,2341017.9355276353,385995.8494951133,2372626.765905149,0.16488376429636997,1.105889624613847,0.1513932142857536
tf_015p_high,0.517947,31.974939999999997,2420887.455967223,397218.1289771345,2453258.7137209047,0.1640795519007029,1.1585892407051377,0.1533946428571827
tf_015p_high,0.719686,31.99475,2486946.0402664696,402136.33902473736,2519248.7456305875,0.16169885977166176,1.1881584966120042,0.15318892857146837
tf_015p_high,1.0,31.99153,2567187.156174754,416862.9059907076,2600812.2918080105,0.16238119024086098,1.211527040323703,0.1513032142857536
tf_015p_high,1.3895,31.96486,2647584.214457585,431709.61546351836,2682550.1607106337,0.16305793527023407,1.2603540554120678,0.15260500000003965
tf_015p_high,1.9307,31.95639,2730972.166849845,446942.74034858256,2767303.161791067,0.16365701041330183,1.294508211775464,0.1519400000000395
tf_015p_high,2.6827,31.965,2816961.3129179836,463244.47059321473,2854797.099271995,0.16444828988913493,1.343896371961091,0.15290250000003974
tf_015p_high,3.72759,31.990059999999996,2905502.8284154963,496062.9890052122,2947545.6188142765,0.17073223407451923,1.3805831355392937,0.1521339285714681
tf_015p_high,5.17947,32.000699999999995,3003823.462119834,533052.7356372856,3050754.105225785,0.17745807713383527,1.4240066700201521,0.15161035714289656
tf_015p_high,7.19686,32.01169,3087036.501898058,589710.4596988003,3142857.424435472,0.19102801646051742,1.4740234670736667,0.15233642857146815
