run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
tf_015p_high,0.07196859,45.967527,2893958.671256781,336915.8802650817,2913504.608082354,0.11642041871965182,1.1146489858962643,0.12426432569985138
tf_015p_high,0.09999999,46.014623,2968462.498945962,357856.60312652244,2989955.0090343766,0.1205528462136846,1.1395879721607314,0.12379618320621232
tf_015p_high,0.13895,45.936825,3056257.9298358574,375030.5804445159,3079181.785791984,0.12270907398992263,1.1694819448404536,0.1233622391858557
tf_015p_high,0.19307,45.973518999999996,3128423.4880916798,385873.3811703296,3152131.3086766447,0.12334435623538618,1.456172867397226,0.15004885496195985
tf_015p_high,0.26827,45.989653999999994,3196780.8716033045,400085.2109982795,3221719.4348838516,0.12515252908080055,1.50433573551618,0.15166351145051082
tf_015p_high,0.372759,45.965728,3286107.5383289754,408094.8022372771,3311350.8000626573,0.12418790239737502,1.5230934829970455,0.14939821882964377
tf_015p_high,0.517947,45.98768,3360363.7962372173,424461.8797379788,3387065.5042990386,0.12631426401310233,1.5914729570097863,0.1526158778627254
tf_015p_high,0.719686,45.957335,3447973.5586363804,433997.82547399873,3475179.962760459,0.1258704041934817,1.62171194803279,0.15157251908409855
tf_015p_high,1.0,45.966953,3544334.7148554283,441906.3585311399,3571776.8408230045,0.12467963499016348,1.6695019215229208,0.15181918575076542
tf_015p_high,1.3895,45.998138,3640726.196577101,449728.59597955225,3668397.885792176,0.12352716784974746,1.7035739649203414,0.15083725190852543
tf_015p_high,1.9307,45.943825,3740409.3299050075,445059.59401236835,3766794.39277788,0.11898686875098538,1.7694048872075776,0.15257358778638946
tf_015p_high,2.6827,45.957376999999994,3848965.091149774,467659.76835093036,3877271.9703192906,0.12150273054599975,1.8003273471095733,0.15081664122150248
tf_015p_high,3.72759,45.98768,3967038.6483823773,477430.9070617386,3995664.6391779766,0.12034944687428709,1.8622137863893362,0.1513786259543274
tf_015p_high,5.17947,45.95751,4074467.8433656045,490573.20537328185,4103894.5255026445,0.12040178600797523,1.9012233930408513,0.15047384223931393
tf_015p_high,7.19686,45.976921,4195583.600504694,499500.0837574484,4225212.667132582,0.11905377923999957,1.9590440892747292,0.15059816793905956
tf_015p_high,10.0,45.989129,4305006.125601246,539241.2550111425,4338647.124688783,0.1252591144538339,2.013796924408937,0.15075974554720217
tf_015p_high,13.895,46.000370999999994,4427638.403627608,554616.1434834837,4462239.448963998,0.12526229400961947,2.0390887937608744,0.1484250890586506
tf_015p_high,19.307,45.990753,4551086.477715442,584860.7125344978,4588512.850664223,0.1285101294818917,2.106611917756609,0.14912025445305319
tf_015p_high,26.827,45.988653,4653020.95956137,602276.830393281,4691837.745547687,0.12943780731433802,2.172496712384462,0.1503973536896955
tf_015p_high,37.2759,45.989262,4734786.335401836,626815.3894001507,4776096.64624752,0.13238514792388276,2.2228390387863612,0.15116768447850024
tf_015p_high,51.7947,45.999188,4819952.23036565,651053.1080194266,4863723.846238452,0.135074597610698,2.2815380481645486,0.15236417302811958
tf_015p_high,100.0,45.979251999999995,4910493.805525174,792484.0471231679,4974030.596914923,0.16138581546146807,2.2436107937824508,0.1465086005090306
tf_015p_high,0.01,52.980729,2343925.907298269,247539.00778011855,2356960.801387409,0.10560871698604368,1.1023969997306928,0.15191816793906066
tf_015p_high,0.013895,53.00161,2431633.97542139,251202.5242198389,2444574.9116355693,0.10330605952991209,0.9203866995658924,0.12229002544539676
tf_015p_high,0.019307,52.969367999999996,2491079.341010649,261925.01714858745,2504811.5693237963,0.1051451926225371,1.1513669989515363,0.14930101781183197
tf_015p_high,0.026827,52.94365,2551996.3400464384,271133.0726361313,2566358.9894415643,0.10624351938968593,0.9758418982843302,0.12350544529272604
tf_015p_high,0.0372759,52.93473899999999,2608441.0456230957,284103.4948825699,2623867.276425353,0.10891696991169843,0.9794336966753849,0.12124315521638823
